i>C'est un jeune homme.</i>|dossier-1 les-personnes dossier-1-leçon-1
un monsieur|<b>Meaning</b>: a gentleman/sir<br><b>Phrase: </b><i>Bonjour, monsieur.</i>|dossier-1 les-personnes dossier-1-leçon-1
une dame|<b>Meaning</b>: a lady<br><b>Phrase: </b><i>C'est une dame.</i>|dossier-1 les-personnes dossier-1-leçon-1
une fille|<b>Meaning</b>: a girl<br><b>Phrase: </b><i>Elle est une fille.</i>|dossier-1 les-personnes dossier-1-leçon-1
une jeune femme|<b>Meaning</b>: a young woman<br><b>Phrase: </b><i>Elle est une jeune femme.</i>|dossier-1 les-personnes dossier-1-leçon-1
une jeune fille|<b>Meaning</b>: a young girl<br><b>Phrase: </b><i>Voici une jeune fille.</i>|dossier-1 les-personnes dossier-1-leçon-1
une relation formelle (professionnelle)|<b>Meaning</b>: a formal (professional) relationship<br><b>Phrase: </b><i>C'est une relation formelle.</i>|dossier-1 les-personnes dossier-1-leçon-1
une relation informelle (amicale)|<b>Meaning</b>: an informal (friendly) relationship<br><b>Phrase: </b><i>Ils ont une relation informelle.</i>|dossier-1 les-personnes dossier-1-leçon-1
demander une information|<b>Meaning</b>: to ask for information<br><b>Phrase: </b><i>Je voudrais demander une information.</i>|dossier-1 communiquer dossier-1-leçon-2
poser des questions|<b>Meaning</b>: to ask questions<br><b>Phrase: </b><i>Je vais poser des questions.</i>|dossier-1 communiquer dossier-1-leçon-2
répondre|<b>Meaning</b>: to answer<br><b>Phrase: </b><i>Je vais répondre.</i>|dossier-1 communiquer dossier-1-leçon-2
c'est gratuit|<b>Meaning</b>: it's free<br><b>Phrase: </b><i>C'est gratuit.</i>|dossier-1 demander/dire-le-prix dossier-1-leçon-2
ça coûte ... euros|<b>Meaning</b>: it costs ... euros<br><b>Phrase: </b><i>Ça coûte 10 euros.</i>|dossier-1 demander/dire-le-prix dossier-1-leçon-2
combien|<b>Meaning</b>: how much<br><b>Phrase: </b><i>Combien coûte ce livre?</i>|dossier-1 demander/dire-le-prix dossier-1-leçon-2
compléter un formulaire|<b>Meaning</b>: to fill out a form<br><b>Phrase: </b><i>Complétez le formulaire.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
présenter une pièce d'identité|<b>Meaning</b>: to present an ID<br><b>Phrase: </b><i>Présentez une pièce d'identité.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
un passeport|<b>Meaning</b>: a passport<br><b>Phrase: </b><i>J'ai besoin de mon passeport.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
une carte d'étudiant|<b>Meaning</b>: a student card<br><b>Phrase: </b><i>Voici ma carte d'étudiant.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
une carte d'identité|<b>Meaning</b>: an identity card<br><b>Phrase: </b><i>Montrez votre carte d'identité.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
une photo|<b>Meaning</b>: a photo<br><b>Phrase: </b><i>Voici une photo.</i>|dossier-1 faire-une-inscription dossier-1-leçon-2
l'adresse (f.)|<b>Meaning</b>: the address<br><b>Phrase: </b><i>J'habite...</i>|dossier-1 les-informations-personnelles dossier-1-leçon-2
l'anniversaire (m.)|<b>Meaning</b>: the birthday<br><b>Phrase: </b><i>C'est mon anniversaire.</i>|dossier-1 les-informations-personnelles dossier-1-leçon-2
la carte de visite|<b>Meaning</b>: the business card<br><b>Phrase: </b><i>Voici ma carte de visite.</i>|dossier-1 les-informations-personnelles dossier-1-leçon-2
