#separator:|
#html:true
identique ≠ différent|<b>Meaning</b>: identical ≠ different<br><b>Phrase: </b><i>Ces deux choses sont identiques. / Ces deux choses sont différentes.</i>|dossier-0 caractériser dossier-0-leçon-1
la prononciation|<b>Meaning</b>: the pronunciation<br><b>Phrase: </b><i>La prononciation est importante.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
masculin ≠ féminin|<b>Meaning</b>: masculine ≠ feminine<br><b>Phrase: </b><i>'Chat' est masculin, 'chatte' est féminin.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
singulier ≠ pluriel|<b>Meaning</b>: singular ≠ plural<br><b>Phrase: </b><i>'Un livre' est singulier, 'des livres' est pluriel.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
un alphabet|<b>Meaning</b>: an alphabet<br><b>Phrase: </b><i>L'alphabet français a 26 lettres.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
un exercice|<b>Meaning</b>: an exercise<br><b>Phrase: </b><i>Faisons un exercice.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
un livre|<b>Meaning</b>: a book<br><b>Phrase: </b><i>C'est un livre de français.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
un mot|<b>Meaning</b>: a word<br><b>Phrase: </b><i>C'est un mot difficile.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
une activité|<b>Meaning</b>: an activity<br><b>Phrase: </b><i>C'est une activité intéressante.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
une classe|<b>Meaning</b>: a class/classroom<br><b>Phrase: </b><i>J'aime cette classe.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
une consonne|<b>Meaning</b>: a consonant<br><b>Phrase: </b><i>'B' est une consonne.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
une langue|<b>Meaning</b>: a language<br><b>Phrase: </b><i>J'apprends une langue étrangère.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
une lettre|<b>Meaning</b>: a letter<br><b>Phrase: </b><i>C'est une lettre de l'alphabet.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
une voyelle|<b>Meaning</b>: a vowel<br><b>Phrase: </b><i>'A' est une voyelle.</i>|dossier-0 la-classe-de-langue dossier-0-leçon-1
associer (un dialogue et un dessin)|<b>Meaning</b>: to match (a dialogue and a drawing)<br><b>Phrase: </b><i>Associez le dialogue et le dessin.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
cocher (la bonne réponse)|<b>Meaning</b>: to check (the correct answer)<br><b>Phrase: </b><i>Cochez la bonne réponse.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
comprendre (une situation, un mot)|<b>Meaning</b>: to understand (a situation, a word)<br><b>Phrase: </b><i>Je comprends la situation.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
écouter (un dialogue)|<b>Meaning</b>: to listen (to a dialogue)<br><b>Phrase: </b><i>Écoutez le dialogue.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
écrire|<b>Meaning</b>: to write<br><b>Phrase: </b><i>Écrivez une phrase.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
épeler|<b>Meaning</b>: to spell<br><b>Phrase: </b><i>Épelez votre nom.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
expliquer|<b>Meaning</b>: to explain<br><b>Phrase: </b><i>Pouvez-vous expliquer cela?</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
identifier|<b>Meaning</b>: to identify<br><b>Phrase: </b><i>Identifiez les mots.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
lire (une page)|<b>Meaning</b>: to read (a page)<br><b>Phrase: </b><i>Lisez la page 10.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
ouvrir ≠ fermer (un livre)|<b>Meaning</b>: to open ≠ to close (a book)<br><b>Phrase: </b><i>Ouvrez le livre. / Fermez le livre.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
parler|<b>Meaning</b>: to speak<br><b>Phrase: </b><i>Je parle français.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
prononcer|<b>Meaning</b>: to pronounce<br><b>Phrase: </b><i>Prononcez le mot correctement.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
regarder (un dessin)|<b>Meaning</b>: to look at (a drawing)<br><b>Phrase: </b><i>Regardez le dessin.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
répéter (un mot)|<b>Meaning</b>: to repeat (a word)<br><b>Phrase: </b><i>Répétez le mot, s'il vous plaît.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
répondre|<b>Meaning</b>: to answer<br><b>Phrase: </b><i>Répondez à la question.</i>|dossier-0 les-activités-de-classe dossier-0-leçon-1
